major_category	major_preprocessed	major_original	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
	veterinari technolog	Veterinary Technology	0.15625	0.15625	0.625	0.21875	0.34375	0.46875
	rehabilit servic	Rehabilitation Service	0.0	0.09375	0.09375	0.71875	0.21875	0.03125
	aviat	aviation	0.28125	0.21875	0.375	0.34375	0.40625	0.5
	dentistri	Dentistry	0.9375	0.75	0.4375	0.46875	0.65625	0.8125
	hospit	Hospitality	0.46875	0.6875	0.71875	0.59375	0.5	0.46875
	hospit	hospitality	0.09375	0.15625	0.5625	0.65625	0.5625	0.15625
	comput	Computers	0.34375	0.53125	0.84375	0.875	0.53125	0.3125
	speech patholog	Speech Pathology	0.03125	0.46875	0.5625	0.65625	0.25	0.4375
	famili	Family Studies	0.125	0.09375	0.6875	0.90625	0.59375	0.625
	communiti	Community Studies	0.4375	0.5625	0.5625	0.71875	0.28125	0.25
	medic	medical	0.15625	0.6875	0.375	0.53125	0.34375	0.21875
	design	Design	0.3125	0.25	0.6875	0.71875	0.75	0.40625
	syariah	syariah	0.21875	0.375	0.53125	0.875	0.46875	0.8125
	child develop	Child Development	0.0	0.03125	0.09375	0.75	0.0625	0.34375
	social	Social	0.25	0.4375	0.53125	0.46875	0.40625	0.25
	communiti	community studies	0.5625	0.9375	0.59375	0.8125	0.46875	0.6875
	kinesiolog	Kinesiology	0.5625	0.625	0.6875	0.90625	0.59375	0.5
	undecid	undecided	0.625	0.46875	0.5625	0.40625	0.46875	0.5
	pharmaceut biotechnolog	pharmaceutical or biotechnology	0.25	0.90625	0.46875	0.375	0.375	0.34375
	pharmaci	pharmacy	0.34375	0.46875	0.875	0.5625	0.5	0.15625
	east asian	East Asian Studies	0.125	0.0	0.0	0.25	0.40625	0.0625
	design	design	0.59375	0.46875	0.78125	0.59375	0.4375	0.375
	socio hdfs	socio and HDFS	0.34375	0.125	0.34375	0.78125	0.5625	0.875
	scandinavian area	Scandinavian Area Studies	0.375	0.6875	0.65625	0.6875	0.25	0.4375
	mechan	mechanic	0.6875	0.0625	0.0	0.34375	0.1875	0.15625
	electron comput	electronics/computers	0.0	0.375	0.03125	0.53125	0.1875	0.0
	speech languag patholog	speech-language pathology	0.03125	0.40625	0.46875	0.53125	0.1875	0.21875
	philolog	philology	0.03125	0.25	0.59375	0.46875	0.0625	0.03125
	vet	pre-vet	0.125	0.78125	0.34375	0.5	0.125	0.09375
	interior design	Interior Design	0.0	0.84375	0.625	0.46875	0.34375	0.03125
	pharmacist	Pharmacist	0.65625	0.4375	0.46875	0.59375	0.5	0.3125
	attend	i have not attended	0.40625	0.40625	0.3125	0.9375	0.40625	0.75
	medic	medical	0.125	0.3125	0.4375	0.8125	0.6875	0.6875
	pharmaci	Pharmacy	0.0625	0.78125	0.90625	0.5625	0.15625	0.0625
	undecid	Undecided	0.0	0.25	0.3125	0.65625	0.34375	0.25
	program	Programming	0.59375	0.125	0.625	0.6875	0.53125	0.625
	translat	Translation	0.03125	0.25	0.625	0.8125	0.59375	0.09375
	idea	i have no idea	0.21875	0.4375	0.625	0.78125	0.40625	0.15625
	but	buts	0.34375	0.25	0.375	0.5	0.3125	0.71875
	respiratori therapi	Respiratory Therapy	0.28125	0.75	0.65625	0.75	0.59375	0.5
	kinesiolog	Kinesiology	0.3125	0.65625	0.75	0.6875	0.53125	0.65625
	speech pathologiy	Speech pathologiy	0.1875	0.8125	0.8125	0.8125	0.46875	0.375
	liber	liberal studies	0.21875	0.15625	0.46875	0.59375	0.375	0.34375
	kinesiolog	Kinesiology	0.5	0.28125	0.375	0.40625	0.21875	0.375
	kinesiolog	kinesiology	0.4375	0.9375	0.65625	0.65625	0.5625	0.125
	interior design	interior design	0.09375	0.03125	0.4375	0.3125	0.53125	0.15625
	kinesiolog	Kinesiology	0.3125	0.625	0.75	0.8125	0.5625	0.40625
	kinesiolog	Kinesiology	0.03125	0.25	0.03125	0.21875	0.15625	0.09375
	kinesiolog	Kinesiology	0.09375	0.34375	0.28125	0.53125	0.1875	0.1875
	undeclar	UNDECLARED	0.21875	0.40625	0.53125	0.59375	0.28125	0.375
	undeclar	Undeclared	0.28125	0.3125	0.4375	0.3125	0.5625	0.25
	that took test	not know yet thats why i took the test	0.59375	0.375	0.03125	0.25	0.15625	0.53125
	radio tv film	Radio/TV/Film	0.1875	0.5625	0.65625	0.6875	0.1875	0.0
	rehab servic	Rehab Service	0.5625	0.375	0.4375	0.625	0.6875	0.6875
	pharmaci	pharmacy	0.09375	0.84375	0.65625	0.9375	0.71875	0.28125
	electron	Electronics	0.40625	0.46875	0.46875	0.40625	0.4375	0.25
	medic	medical	0.28125	0.5	0.40625	0.78125	0.46875	0.53125
	travel tourism	Travel & Tourism	0.0	0.1875	0.1875	0.5625	0.375	0.125
	travel tourism	Travel and Tourism 	0.0625	0.1875	0.09375	0.78125	0.625	0.5625
	electron	electronics	0.65625	0.09375	0.28125	0.65625	0.5	0.5
	travel tourism	Travel and Tourism	0.0	0.15625	0.125	0.8125	0.46875	0.375
	tourism	Tourism 	0.125	0.46875	0.15625	0.625	0.4375	0.375
	natur	nature	0.03125	0.75	0.6875	0.71875	0.375	0.09375
	child dev	child dev	0.3125	0.4375	0.28125	0.75	0.40625	0.21875
	logist	logistic	0.6875	0.6875	0.59375	0.8125	0.65625	0.71875
	travel tourism	Travel and Tourism	0.0625	0.09375	0.21875	0.40625	0.53125	0.65625
	pharmaci	pharmacy	0.09375	0.875	0.53125	0.75	0.3125	0.0
	liber	Liberal Studies	0.0	0.0	0.25	0.4375	0.28125	0.21875
	environment	Environmental	0.0625	0.78125	0.34375	0.4375	0.0	0.09375
	fashion design	fashion design	0.09375	1.0	0.65625	0.34375	0.21875	0.125
	pharmaci	pharmacy	0.5	0.375	0.5	0.53125	0.59375	0.40625
	n undecid	N/A Undecided	0.5625	0.71875	1.0	0.9375	0.75	0.71875
	bibl	Bible	0.25	0.6875	0.65625	0.65625	0.3125	0.5625
	translat intepr	translation and intepreation	0.09375	0.40625	0.46875	0.5625	0.3125	0.09375
	criminalist	Criminalistics	0.4375	0.78125	0.875	0.75	0.4375	0.21875
	travel tourism	Travel and Tourism	0.40625	0.375	0.375	0.6875	0.6875	0.5
	travel tourism	Travel and Tourism	0.0	0.09375	0.375	0.6875	0.3125	0.125
	germanistik	Germanistik	0.375	0.59375	0.40625	0.8125	0.75	0.6875
	inform technolog	IT	0.46875	0.46875	0.75	0.71875	0.65625	0.75
	travel tourism	Travel and Tourism	0.1875	0.375	0.125	0.21875	0.34375	0.71875
	environ	Environment	0.625	0.90625	0.625	0.75	0.4375	0.59375
	kinesiolog	Kinesiology	0.6875	0.59375	0.75	1.0	0.75	0.53125
	teach	teaching	0.0625	0.46875	0.46875	0.71875	0.34375	0.09375
	build	Building	0.59375	0.53125	0.65625	0.6875	0.21875	0.5625
	biotechnologist	biotechnologist	0.46875	0.78125	0.59375	0.78125	0.625	0.71875
	polit	Politics	0.03125	0.0625	0.28125	0.53125	0.1875	0.0
	kemanusiaan	Kemanusiaan	0.0625	0.1875	0.1875	0.75	0.4375	0.125
	medic	medic	0.40625	0.84375	0.5625	0.71875	0.46875	0.46875
	inform secur	Information Security	0.40625	0.75	0.53125	0.125	0.5	0.46875
	christian ministri	Christian Ministry	0.125	0.40625	0.4375	0.5625	0.1875	0.40625
	travel tourism	Travel and Tourism	0.1875	0.3125	0.78125	0.6875	0.65625	0.5
	wood technolog	wood tech	0.1875	0.5625	0.6875	0.75	0.6875	0.25
	pharmaci	Pharmacy	0.125	0.125	0.46875	0.46875	0.375	0.15625
	anim behavior	Animal Behavior	0.46875	0.75	0.125	0.65625	0.34375	0.3125
	social polici	social policy	0.4375	0.25	0.46875	0.53125	0.8125	0.46875
	word inform process	Word Information Processing	0.0625	0.3125	0.5	0.875	0.34375	0.375
	technician	technician	0.75	0.46875	0.625	0.59375	0.53125	0.75
	interior design	interior design 	0.21875	0.15625	0.5	0.40625	0.53125	0.21875
	sain	SAINS	0.15625	0.25	0.25	0.34375	0.53125	0.40625
	industri labor relat	Industrial and Labor Relations	0.3125	0.71875	0.65625	0.78125	0.21875	0.0
	xx	XX	0.0625	0.15625	0.8125	0.8125	0.6875	0.09375
	media	media	0.15625	0.46875	0.75	0.6875	0.59375	0.03125
	danc	dance	0.1875	0.71875	0.625	0.875	0.03125	0.03125
	retail	retail	0.0	0.0	0.125	0.75	0.25	0.5
	medic	medical	0.03125	0.5625	0.125	0.75	0.15625	0.09375
