major_category	major_preprocessed	major_original	realistic	investigative	artistic	social	enterprising	conventional
agriculture & natural resources	forestri	Forestry	0.46875	0.6875	0.34375	0.71875	0.21875	0.40625
agriculture & natural resources	agricultur engin	Agricultural Engineering	0.46875	0.65625	0.15625	0.28125	0.0	0.25
agriculture & natural resources	anim scienc	 animal science	0.375	0.59375	0.1875	0.125	0.1875	0.25
agriculture & natural resources	anim scienc	Animal Science	0.5625	0.53125	0.53125	0.9375	0.59375	0.1875
agriculture & natural resources	forestri	Forestry	0.0625	0.4375	0.59375	0.15625	0.0625	0.125
agriculture & natural resources	food scienc	Food Science	0.21875	0.25	0.375	0.53125	0.375	0.25
agriculture & natural resources	anim scienc	Animal Science	0.40625	1.0	0.96875	0.78125	0.375	0.46875
agriculture & natural resources	agricultur engin	Agricultural Engineering	0.21875	0.34375	0.4375	0.8125	0.40625	0.65625
agriculture & natural resources	agricultur scienc	Agricultural Science	0.8125	0.90625	0.46875	0.40625	0.0625	0.6875
agriculture & natural resources	plant scienc	Plant Science	0.15625	0.96875	0.6875	0.25	0.21875	0.25
agriculture & natural resources	natur resourc mgt	natural resources mgt	0.3125	0.375	0.71875	0.59375	0.3125	0.0625
agriculture & natural resources	anim scienc	animal science	0.4375	0.75	0.28125	0.125	0.25	0.5
agriculture & natural resources	agricultur	Agriculture	0.21875	0.75	0.34375	0.625	0.375	0.28125
agriculture & natural resources	agricultur	Agriculture	0.75	0.96875	0.8125	0.5	0.09375	0.03125
agriculture & natural resources	agricultur	Agriculture	0.625	0.8125	0.3125	0.5	0.4375	0.6875
agriculture & natural resources	agricultur educ	agriculture education	0.125	0.59375	0.03125	0.78125	0.5	0.53125
agriculture & natural resources	agricultur	Agriculture	0.4375	0.75	0.125	0.28125	0.21875	0.96875
agriculture & natural resources	food scienc	Food Science	0.25	0.84375	0.5	0.78125	0.3125	0.4375
agriculture & natural resources	food scienc	Food Science	0.34375	0.5625	0.3125	0.6875	0.28125	0.3125
agriculture & natural resources	food scienc	Food Science	0.375	0.21875	0.59375	0.46875	0.75	0.53125
agriculture & natural resources	agricultur educ	Agriculture Education	0.1875	0.71875	0.8125	0.40625	0.40625	0.1875
agriculture & natural resources	forestri	Forestry	0.53125	0.78125	0.75	0.5	0.1875	0.40625
agriculture & natural resources	anim scienc	Animal Science	0.4375	0.5625	0.1875	0.4375	0.34375	0.375
agriculture & natural resources	agricultur scienc	agricultural sciences	0.6875	0.9375	0.4375	0.6875	0.25	0.1875
agriculture & natural resources	agricultur studi	agricultural study	0.6875	0.1875	0.625	0.9375	1.0	0.9375
agriculture & natural resources	agricultur	agriculture	0.875	0.53125	0.34375	0.4375	0.28125	0.375
agriculture & natural resources	anim scienc	animal science	0.15625	0.59375	0.25	0.5	0.5625	0.6875
agriculture & natural resources	agricultur engin	agricultural engineering	0.5	0.90625	0.4375	0.375	0.28125	0.59375
agriculture & natural resources	agronomi	agronomy	0.15625	0.84375	0.25	0.34375	0.125	0.09375
agriculture & natural resources	agricultur	agriculture	0.09375	0.375	0.5625	0.375	0.5	0.0625
agriculture & natural resources	anim scienc	Animal Science	0.46875	0.53125	0.1875	0.34375	0.34375	0.25
agriculture & natural resources	anim scienc	Animal Science	0.3125	0.78125	0.53125	0.65625	0.15625	0.15625
agriculture & natural resources	agronomi	agronomy 	0.3125	1.0	0.71875	0.65625	0.25	0.28125
agriculture & natural resources	anim scienc	Animal Science	0.40625	0.875	0.75	0.6875	0.5625	0.15625
agriculture & natural resources	agricultur scienc	Agricultural science	0.25	0.3125	0.84375	0.75	0.4375	0.3125
agriculture & natural resources	food scienc	food science	0.15625	0.375	0.53125	0.53125	0.53125	0.09375
agriculture & natural resources	anim scienc	animal science	0.0	0.71875	0.0	0.125	0.0	0.0
agriculture & natural resources	agronomi	agronomy	0.0625	0.9375	0.0	0.71875	0.15625	0.3125
agriculture & natural resources	anim scienc	animal science	0.46875	0.65625	0.46875	0.59375	0.1875	0.59375
agriculture & natural resources	agricultur op	AG op	0.46875	0.75	0.5625	0.53125	0.21875	0.25
agriculture & natural resources	food scienc nutrit	Food science and nutrition	0.75	0.65625	0.21875	0.3125	0.1875	0.40625
agriculture & natural resources	food scienc	food science	0.28125	0.5	0.375	0.71875	0.5	0.59375
agriculture & natural resources	agricultur	Agriculture	0.4375	0.71875	0.71875	0.625	0.375	0.1875
agriculture & natural resources	colleg agricultur	  College for agriculture 	0.59375	0.65625	0.4375	0.625	0.53125	0.6875
agriculture & natural resources	agricultur econom	ag economics	0.53125	0.53125	0.25	0.5625	0.3125	0.40625
agriculture & natural resources	intern agricultur develop	International Agriculture Development	0.09375	0.15625	0.09375	0.59375	0.15625	0.09375
agriculture & natural resources	agricultur educ	agricultural education	0.0	0.53125	0.0	0.65625	0.28125	0.0625
agriculture & natural resources	food scienc	Food science 	0.25	0.375	0.625	0.625	0.375	0.375
agriculture & natural resources	agricultur	Ag Certified	0.09375	0.59375	0.0	0.8125	0.0625	0.4375
agriculture & natural resources	anim scienc	animal science	0.40625	0.625	0.4375	0.53125	0.28125	0.40625
agriculture & natural resources	anim scienc	Animal science	0.09375	0.6875	0.28125	0.3125	0.1875	0.15625
agriculture & natural resources	food scienc	Food Science	0.4375	0.65625	0.25	0.6875	0.5	0.6875
agriculture & natural resources	anim scienc	Animal Sciences	0.09375	0.9375	0.40625	0.84375	0.46875	0.1875
agriculture & natural resources	agricultur busi	Agricultural Business 	0.5	0.375	0.375	0.40625	0.28125	0.25
agriculture & natural resources	agricultur engin	agricultural engineering	0.40625	0.5625	0.28125	0.5625	0.28125	0.5625
agriculture & natural resources	plant scienc genet	Plant Science, Genetics	0.3125	0.9375	0.75	0.6875	0.25	0.6875
agriculture & natural resources	agricultur communic	Agriculture communication	0.375	0.78125	0.59375	1.0	0.28125	0.46875
agriculture & natural resources	anim scienc	Animal Science	0.15625	0.46875	0.3125	0.5625	0.3125	0.40625
agriculture & natural resources	anim scienc	Animal Science	0.1875	0.59375	0.40625	0.6875	0.6875	0.25
agriculture & natural resources	agricultur busi econom	Agricultural Business and Economics	0.53125	0.9375	0.375	0.5625	0.5	0.34375
agriculture & natural resources	renew natur resourc	Renewable Natural Resources	0.4375	0.53125	0.625	0.28125	0.5	0.375
agriculture & natural resources	food scienc nutrit	Food Science and Nutrition	0.1875	0.4375	0.375	0.59375	0.46875	0.46875
agriculture & natural resources	food scienc	Food science	0.78125	1.0	0.71875	0.53125	0.4375	0.625
agriculture & natural resources	agricultur	agriculture	0.5625	0.375	0.125	0.40625	0.21875	0.125
agriculture & natural resources	agricultur	Agriculture	0.625	0.75	0.4375	0.40625	0.375	0.71875
agriculture & natural resources	agricultur	agriculture	0.34375	0.71875	0.34375	0.375	0.09375	0.28125
agriculture & natural resources	anim scienc	Animal Science	0.34375	0.78125	0.4375	0.53125	0.03125	0.09375
agriculture & natural resources	food scienc	food science	0.25	0.5625	0.15625	0.78125	0.375	0.5
agriculture & natural resources	food scienc	Food Science	0.4375	0.15625	0.4375	0.78125	0.46875	0.46875
agriculture & natural resources	agricultur	Agriculture	0.0625	0.625	0.5625	0.5	0.65625	0.21875
agriculture & natural resources	anim scienc	animal sciences	0.0	0.75	0.1875	0.09375	0.375	0.15625
agriculture & natural resources	nutrit food scienc	Nutrition and Food Science	0.0	0.5625	0.75	0.9375	0.4375	0.0
agriculture & natural resources	agricultur	Agriculture	0.4375	0.5	0.53125	0.65625	0.6875	0.5625
agriculture & natural resources	forestri	Forestry	0.5	0.5625	0.3125	0.5	0.46875	0.4375
agriculture & natural resources	agricultur	Agriculture	0.5	0.78125	0.8125	0.875	0.59375	0.5
agriculture & natural resources	agricultur	Agricultural 	0.90625	0.6875	0.09375	0.28125	0.53125	0.78125
agriculture & natural resources	soil scienc	Soil Science	0.4375	0.9375	0.65625	0.25	0.1875	0.28125
