college_major_category	college_major_preprocessed	college_major	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
business	manag	Management	0	0	1	0	0	1	0	0	4	4	3	0	2	3	3	0	4	4	3	4	4	4	0	4	4	3	3	1	3	3	3	3	1	2	0	1	1	0	0	2	1	0	0	0	0	1	0	0
business	account	accounting	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	2	3	0	2	2	0	2	2	2	2	2	3	1	0	0	2	2	3	2	3	2	3	3	2	3	2	2	2	3	3	3
business	busi	Business 	3	2	0	2	1	3	2	2	2	2	1	3	1	1	2	1	1	1	1	2	3	2	1	1	4	2	3	2	3	1	3	3	1	1	1	3	3	1	2	1	2	2	2	2	3	2	3	2
business	manag	Management	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	1	1	0	0	0	1	0	3	0	0	0	3	0	1	4	3	0	2	2
business	intern busi	international business	3	2	0	2	1	2	1	1	3	3	3	3	3	3	3	2	4	3	2	4	3	3	1	1	3	3	3	1	2	3	3	2	0	1	2	1	1	1	1	2	3	3	3	2	3	1	1	2
business	busi	Business 	3	3	0	2	2	3	1	3	3	3	3	2	3	3	3	3	2	1	3	3	4	2	3	3	2	2	4	3	4	3	3	3	2	0	4	1	4	2	4	3	2	2	3	3	4	3	4	3
business	financ	Finance	0	2	0	3	1	2	2	1	3	3	3	4	3	3	3	3	1	3	2	3	3	3	1	1	3	3	1	2	3	3	4	3	3	1	3	1	3	3	2	3	0	0	0	1	3	2	1	1
business	busi	business	1	2	1	0	0	3	0	2	2	1	3	3	2	1	3	0	1	1	3	2	3	1	1	0	0	3	3	2	3	1	2	3	3	0	0	0	2	0	3	3	0	0	1	0	3	3	2	1
business	account	Accounting	2	2	0	0	0	0	1	1	3	3	2	2	1	4	0	0	1	1	0	0	0	1	0	0	0	3	2	1	0	2	2	1	2	2	2	1	1	2	2	0	4	4	3	3	2	2	2	2
business	busi administr	business admin	4	4	0	2	3	3	2	2	2	2	2	3	3	3	2	2	2	3	4	3	2	3	2	2	3	3	4	3	3	2	1	3	4	2	3	4	3	3	4	2	4	2	2	3	2	3	2	2
business	human resourc	HR	2	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	0	2	3	2	1	1	3	3	2	1	2	1	2	2	2	2	3	1	3	3	2	2	3	1	2	3	2	2	2	2
business	busi administr	Business Administration	3	0	4	0	0	0	0	0	2	4	4	2	0	4	4	4	0	0	3	0	2	0	4	0	4	4	0	4	4	4	4	4	0	4	4	3	4	4	0	3	4	4	4	4	4	4	3	3
business	entrepreneurship	Entrepreneurship	0	0	0	0	0	3	0	0	3	1	0	2	0	0	0	0	0	3	0	1	4	4	0	0	3	4	1	0	3	3	4	2	0	0	3	0	0	0	3	2	1	1	2	3	0	2	0	0
business	manag	Management	4	1	0	1	1	1	1	0	2	3	0	2	0	2	0	1	1	4	2	0	1	0	1	1	4	3	0	3	3	4	1	2	4	3	4	2	4	3	3	3	4	3	4	4	4	4	4	2
business	busi	Business Studies	0	1	0	1	0	1	0	0	3	4	4	4	3	4	2	4	2	4	4	4	4	4	3	4	4	4	3	3	2	3	3	2	4	3	2	2	4	4	2	3	0	0	0	0	1	0	0	0
business	human resourc	Human Resources	0	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	2	2	1	3	3	3	2	1	2	0	2	0	1	1	0	2	3	0	3	0	0	0	0
business	busi	Business	3	0	3	4	0	3	4	0	4	4	3	2	3	4	3	3	4	3	4	2	0	4	2	3	1	4	3	3	4	2	3	2	1	0	1	0	1	2	1	4	0	1	2	1	1	2	0	0
business	busi manag	Business Management	4	4	2	4	4	2	4	3	3	2	1	1	1	2	3	2	3	0	3	1	0	2	1	2	1	3	1	3	1	1	3	2	0	0	3	1	1	1	3	2	4	4	4	4	4	4	4	4
business	account	Accounting	1	0	1	1	1	1	1	1	3	1	1	3	1	1	2	1	1	2	0	0	1	2	1	1	3	3	2	1	2	0	0	0	2	2	4	0	4	3	2	3	4	1	3	4	3	4	4	3
business	account	Accounting	0	1	1	3	1	1	1	1	3	3	4	3	3	3	3	3	0	1	4	1	2	2	3	3	3	3	1	4	2	1	2	2	3	1	3	1	0	3	3	2	4	3	4	3	4	3	3	3
business	busi	Business	2	3	1	1	3	3	3	3	3	4	3	0	3	3	3	3	3	3	3	4	3	4	3	3	0	4	1	1	1	1	1	1	0	0	0	0	0	0	0	3	0	1	0	0	0	4	0	0
business	busi manag	Business Management 	3	2	1	1	1	2	2	1	4	2	3	3	1	2	1	2	1	0	2	1	1	1	0	1	3	4	0	2	1	0	2	3	2	2	0	1	4	0	2	1	4	4	4	4	3	2	4	4
business	busi administr	business administration	2	4	0	0	0	2	4	4	3	0	4	1	1	4	1	1	4	1	3	3	1	4	0	2	1	4	3	1	4	4	2	3	0	0	3	3	3	3	0	2	0	0	0	0	0	0	0	0
business	busi	business 	4	1	1	4	3	1	2	1	2	2	3	1	0	2	1	1	1	4	4	1	3	1	4	4	3	4	4	3	3	4	3	4	3	0	4	3	4	1	2	4	3	2	0	2	3	4	3	4
business	busi	Business	2	2	0	2	1	2	0	2	3	4	4	2	2	2	2	2	2	2	3	2	3	2	2	2	4	3	4	3	4	3	4	3	1	0	1	2	3	1	0	0	3	3	3	3	2	3	2	0
business	busi	Business 	2	0	1	3	1	0	1	1	3	1	3	3	3	2	3	1	3	2	1	4	2	4	2	1	4	3	4	4	3	2	2	1	4	1	3	0	4	1	3	3	4	3	3	3	4	3	3	3
business	busi manag	Business Management	4	0	0	0	0	0	0	0	4	4	3	4	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	2	3	2	2	2	2	0	2	1	2	1	2	2	4	2	0
business	commerc	commerce	4	3	4	4	4	4	4	4	4	4	4	2	2	2	2	2	3	2	4	4	4	4	4	1	3	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4
business	busi	Business	0	3	1	1	1	3	1	3	2	3	3	1	2	2	1	2	0	2	2	1	2	2	2	2	3	3	3	3	3	2	2	2	1	1	4	1	4	2	2	2	4	2	4	4	4	4	3	3
business	financ	Finance	0	1	0	3	0	2	1	0	3	3	3	4	3	2	3	3	2	3	3	3	3	3	1	1	3	3	1	1	3	3	4	2	3	0	3	1	3	3	3	3	0	0	0	0	3	3	1	0
business	busi	Business	3	2	0	2	0	2	2	2	4	4	0	4	0	0	0	3	0	0	2	0	3	0	3	0	1	3	2	4	2	2	3	0	0	2	0	2	4	3	0	3	4	4	4	4	4	4	4	4
business	commerc	Commerce	3	2	2	2	2	2	2	2	3	2	2	3	3	2	4	2	3	3	3	4	3	4	4	3	4	4	3	2	4	4	3	3	3	3	3	3	2	2	3	3	3	2	2	3	2	2	2	2
business	account	accounting	2	1	0	1	0	1	1	0	2	1	0	1	0	1	0	0	1	2	1	1	2	1	1	2	4	2	3	2	4	3	1	2	2	2	2	0	3	2	1	2	1	1	2	1	2	2	1	2
business	logist	Logistics	4	3	2	3	4	2	4	2	4	4	4	4	4	4	4	4	2	4	4	4	4	3	3	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
business	commerc	commerce	3	3	2	2	2	2	2	3	2	2	2	2	2	3	1	3	2	3	3	2	3	3	1	2	2	3	0	2	2	3	1	2	0	3	2	2	2	3	2	3	2	3	3	1	2	2	2	3
business	account	accounting	4	3	0	3	0	1	3	3	1	2	0	0	0	0	3	0	4	4	0	3	3	3	0	0	4	3	2	3	2	0	0	0	0	0	3	3	1	0	3	0	4	2	4	4	4	4	4	4
business	financ	Finance	3	3	4	3	4	4	3	4	2	1	0	3	2	2	3	2	1	2	2	1	2	3	4	2	2	2	0	2	0	3	0	0	3	0	4	2	4	1	3	2	1	0	1	0	0	1	0	0
business	account	accounting	4	0	0	3	0	0	0	0	3	3	4	2	0	3	2	0	3	4	4	3	4	2	3	1	4	0	0	3	2	3	3	0	2	0	2	1	4	1	0	2	1	1	1	1	2	0	3	1
business	busi	Business studies 	0	2	0	0	0	3	0	2	4	4	4	4	4	4	3	1	0	0	3	3	4	1	1	3	2	4	3	1	2	0	3	2	2	2	2	3	2	1	1	2	0	0	0	0	1	0	0	0
business	busi	Business	3	0	0	0	1	0	0	0	1	3	3	1	1	1	1	0	2	2	4	2	3	2	2	3	3	3	4	3	4	3	3	3	3	1	4	2	3	2	1	1	0	1	1	2	1	1	0	0
business	busi	Business Science	2	3	1	2	1	3	0	3	3	3	2	2	1	3	2	3	0	0	1	2	1	2	2	3	2	4	1	3	2	3	3	1	2	1	1	0	2	3	2	1	0	1	1	0	0	3	1	1
business	busi manag	Business Management	3	1	0	3	0	3	1	0	0	2	3	0	1	0	0	0	1	0	0	0	0	1	0	0	3	2	0	3	0	0	0	0	0	0	1	0	2	0	0	0	3	2	3	2	3	3	3	1
business	busi	Business	3	2	2	2	2	3	2	2	3	3	3	2	2	3	2	3	0	0	0	0	1	0	3	3	2	3	1	2	2	2	2	2	0	0	2	0	3	0	0	2	1	1	2	2	2	1	2	2
business	busi	Business	1	0	0	4	2	3	1	1	3	4	4	4	4	4	4	4	3	2	2	4	1	4	4	2	4	3	3	3	3	3	4	3	1	0	1	2	3	1	2	4	1	1	2	1	3	2	2	1
business	manag	Management	0	2	0	0	0	1	0	0	3	3	3	4	4	0	2	2	1	0	2	1	3	1	0	1	4	4	3	2	3	0	1	0	2	0	1	1	1	1	1	0	1	2	0	3	3	0	1	1
business	manag	management	1	3	0	1	1	1	1	0	1	2	1	1	1	1	1	0	1	2	3	2	3	2	0	2	2	2	2	1	2	2	3	3	2	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2
business	account	Accounting	0	1	1	3	1	3	2	1	2	4	3	1	1	4	1	4	4	4	3	3	3	4	4	4	4	2	0	4	0	2	2	0	0	0	0	1	0	1	0	3	0	0	0	2	2	2	2	2
business	account	accounting	2	2	2	4	3	3	3	1	3	0	0	0	1	0	2	0	0	2	0	0	0	0	0	2	1	0	0	4	0	0	0	0	0	1	2	0	0	2	0	2	0	3	0	0	0	3	0	0
business	busi manag	business management	0	3	3	2	2	4	4	2	1	2	2	2	2	4	2	3	2	2	2	2	3	4	2	2	2	2	2	2	3	3	3	2	2	2	3	3	2	2	0	3	2	3	3	2	2	2	3	3
business	busi	Business	2	1	0	1	1	1	1	1	4	4	3	3	3	3	1	1	0	1	4	3	3	3	1	1	4	4	4	3	4	4	4	3	3	4	3	3	4	3	3	3	3	3	3	3	4	3	3	1
business	market	Marketing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	3	3	4	0	4	3	0	0	3	1	2	0	2	2	0	3	3	3	1	1	3	2
business	financ	finance	0	0	1	0	0	0	0	0	2	4	4	3	4	3	4	3	0	0	0	0	2	0	0	0	3	0	1	0	2	2	3	2	1	1	2	0	4	0	0	0	4	1	4	3	4	4	4	3
business	busi	Business	3	2	0	2	0	1	0	0	3	4	3	1	2	3	2	3	2	3	2	3	4	3	4	4	3	2	2	2	4	2	3	3	0	2	1	1	2	3	0	3	1	0	2	1	4	2	2	2
business	busi	Business	0	1	1	1	1	1	0	1	3	1	3	4	3	3	2	3	4	2	1	4	4	4	3	1	3	3	1	2	2	2	2	0	1	0	2	0	2	0	2	0	0	0	0	0	2	0	0	0
business	busi manag	Business Management	2	2	1	1	1	1	0	2	3	3	3	3	2	2	3	2	2	0	3	0	0	2	0	2	3	3	1	3	3	3	3	3	1	3	2	3	2	3	2	2	3	2	2	3	3	4	1	2
business	busi	business	2	3	3	0	3	3	3	3	3	4	4	3	3	4	3	3	4	0	3	4	4	4	4	4	3	3	3	3	3	4	3	2	2	3	1	1	3	3	3	3	1	2	1	1	1	0	1	0
business	busi	Business	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	2	0	1	1	0	3	1	1	0	1	1	0	3	0	0	1	1	0	3	2	2	2	2	2	2	1	2	1	1	1
business	busi	Business 	2	4	2	3	3	3	3	3	4	4	3	4	3	3	4	4	2	3	4	3	3	3	1	3	3	3	4	1	3	1	2	3	1	1	1	3	2	1	0	3	2	1	1	1	0	3	0	0
business	account	Accounting	2	2	2	1	2	0	1	0	4	1	1	2	1	0	1	1	1	1	1	1	1	2	1	1	3	4	1	2	2	2	4	2	1	3	2	1	4	1	2	2	4	4	3	4	4	3	3	4
business	busi administr	Business Administration	2	3	2	4	3	1	0	2	4	3	3	4	3	1	3	1	2	4	4	4	4	3	4	3	4	4	3	4	3	3	3	3	2	1	0	0	4	3	2	3	3	2	3	3	0	1	2	3
business	market	Marketing	4	1	0	0	1	1	1	1	2	0	0	0	0	0	1	0	4	0	4	4	3	3	4	3	0	3	0	3	1	2	0	0	3	1	2	3	3	1	2	0	1	1	0	2	0	1	2	0
business	busi	business	1	3	4	3	3	4	3	3	2	3	3	3	1	2	3	4	0	0	0	0	0	3	0	2	3	3	1	0	0	0	0	0	3	0	3	4	2	0	3	4	0	0	1	1	0	2	0	0
business	market	Marketing	2	0	0	0	1	0	1	0	3	2	2	2	2	1	2	3	3	0	4	1	1	3	0	2	0	0	0	1	0	1	2	0	2	2	2	1	2	1	2	2	1	0	2	2	2	1	1	2
business	busi	Business	2	0	0	0	0	0	0	0	4	4	4	3	4	4	4	3	4	3	3	4	3	3	4	3	4	4	4	4	4	3	4	4	3	3	4	3	4	3	3	3	0	0	0	0	0	0	0	0
business	busi manag	Business Management 	3	0	2	3	3	3	3	3	3	0	0	3	3	3	3	0	3	0	2	4	0	4	4	0	4	0	2	4	3	3	2	0	3	3	3	3	3	4	3	3	0	2	3	0	3	3	3	2
business	busi	Business	0	2	0	2	0	0	0	0	4	4	4	2	4	4	2	0	2	4	4	4	4	2	0	4	4	4	0	4	4	0	0	2	0	0	2	4	4	4	2	0	0	0	0	0	0	0	0	0
business	busi	Business	4	0	0	1	0	0	3	1	0	0	0	1	0	4	1	2	4	2	3	2	1	1	2	2	2	0	0	0	2	0	1	1	3	1	3	1	3	3	1	2	3	2	3	2	3	3	1	3
business	busi	Business	2	3	1	3	0	2	0	0	3	3	3	3	2	4	2	3	3	3	1	4	4	4	2	3	2	4	3	2	2	1	3	3	0	0	0	0	1	0	0	2	0	0	0	0	3	2	0	1
business	market	Marketing	3	0	1	1	2	1	1	1	3	4	3	3	4	1	1	2	1	4	3	3	4	1	3	4	4	1	1	4	3	3	4	1	1	1	1	1	3	3	0	3	0	2	3	3	4	3	0	3
business	manag	management	2	0	0	2	0	1	2	1	2	0	1	3	2	1	1	1	2	1	3	3	2	4	2	2	2	0	1	3	1	1	1	0	2	2	3	2	3	3	2	3	2	2	3	2	2	3	2	2
business	busi	business	3	3	3	3	2	3	2	2	3	3	3	3	3	3	3	4	1	0	1	2	0	1	1	1	3	2	0	4	0	0	3	0	0	0	2	1	1	0	0	2	3	3	3	3	3	4	3	4
business	account	accountancy	1	0	0	0	0	0	1	0	1	3	3	2	2	3	2	2	1	1	2	1	1	1	1	2	3	2	2	3	3	2	3	1	2	3	3	0	3	3	1	3	2	1	0	2	2	2	3	2
business	busi administr	business administration 	0	0	0	4	0	0	4	3	2	0	0	0	0	4	0	0	0	3	4	4	4	0	0	4	4	4	4	4	4	0	2	4	2	4	2	4	4	4	4	4	0	4	0	2	2	0	0	0
business	market	Marketing	0	1	0	0	0	0	1	1	4	4	4	3	2	4	2	1	2	1	4	4	1	4	1	2	2	4	3	4	3	4	3	2	0	2	0	4	1	2	0	3	0	0	0	1	0	0	0	0
business	busi	business studies	2	3	2	2	1	0	2	1	3	3	3	3	3	2	3	3	0	3	1	1	4	1	0	3	1	2	3	2	2	0	2	2	1	1	2	0	0	1	0	1	1	1	1	2	1	3	1	1
business	busi	Business	2	2	2	2	3	3	1	2	3	4	4	3	4	4	3	3	1	3	3	3	4	4	1	3	2	2	3	2	1	0	2	1	0	1	2	2	0	2	1	3	0	2	2	1	1	2	2	2
business	busi	Business	3	2	0	0	2	1	1	1	2	1	0	3	1	0	1	1	2	1	2	1	1	3	0	1	4	3	2	1	2	2	3	0	1	3	4	1	4	3	4	0	3	2	2	2	3	3	4	2
business	busi manag	Business Management	2	0	0	2	0	2	1	0	0	1	1	1	0	0	0	0	3	0	1	0	0	2	1	0	4	0	2	4	2	0	0	0	4	3	3	3	4	3	3	2	1	0	2	2	3	3	3	1
business	busi administr	Business Administration	4	0	0	4	2	4	4	0	4	4	4	2	4	4	2	0	0	0	2	0	0	2	0	2	4	4	2	4	4	2	4	4	0	4	4	2	4	2	2	0	4	4	4	4	4	4	4	4
business	busi	 Business 	2	0	0	1	0	0	0	0	1	3	3	1	0	3	0	1	0	4	2	3	4	3	2	3	0	4	1	1	0	1	3	3	0	1	2	0	0	0	0	3	1	1	3	1	3	3	1	2
business	busi	business	3	1	1	1	1	3	0	1	3	3	3	4	3	3	3	1	3	1	3	2	2	3	2	0	4	2	3	2	3	3	2	3	4	1	3	1	3	1	2	2	1	1	2	1	4	3	3	1
business	market	Marketing	2	2	2	3	3	3	3	2	4	0	0	0	0	0	0	0	1	0	3	0	0	2	4	0	2	0	0	4	0	4	0	0	4	2	3	4	4	0	4	2	0	0	0	0	0	0	0	1
business	account	accountancy	3	2	0	3	1	2	3	1	4	3	3	1	2	3	1	0	3	4	2	3	3	4	1	4	2	4	2	4	3	3	3	3	1	2	2	3	2	1	0	4	2	2	1	1	1	2	0	0
business	busi	business	2	4	2	1	3	2	2	2	2	4	3	2	2	3	1	3	0	3	2	2	4	1	3	2	3	4	3	1	2	2	3	1	0	0	3	2	1	0	1	1	2	1	0	1	0	2	1	1
business	account	Accounting	0	0	0	0	0	0	0	0	0	3	2	3	2	2	0	2	2	0	1	3	3	4	0	0	4	4	3	3	4	4	4	3	1	1	2	0	1	0	3	4	0	2	0	1	0	2	1	0
business	manag	Management	2	0	0	0	0	0	0	0	2	3	1	1	1	0	0	0	4	4	1	0	3	0	0	3	4	4	2	2	3	4	4	0	3	0	4	0	3	0	0	1	2	0	1	0	0	0	0	0
business	busi	Business	2	0	0	0	0	1	0	0	4	2	1	3	2	3	2	4	3	4	3	3	3	3	1	2	3	3	2	2	3	2	3	3	2	2	4	2	3	3	3	2	1	1	1	1	0	1	1	0
business	manag	management	4	3	4	4	4	4	3	3	2	3	3	1	3	3	3	3	1	0	0	0	0	0	4	3	4	2	1	3	1	2	1	1	3	2	2	2	4	1	4	2	2	3	1	3	1	0	1	3
business	financ	finance	0	1	0	0	1	0	0	0	3	4	3	4	4	4	3	2	0	3	3	3	4	1	3	3	0	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
business	human resourc	Human Resources 	0	0	0	0	0	1	0	0	0	2	3	1	2	3	2	1	0	1	3	1	3	0	0	2	2	2	2	1	3	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
business	manag	management	1	3	3	2	2	3	2	3	1	1	1	2	1	1	2	1	1	3	1	1	3	2	3	3	1	2	1	1	1	3	1	2	1	2	3	1	3	1	1	2	1	1	1	1	1	1	1	1
business	busi	business	2	2	1	1	1	3	0	3	3	4	3	4	4	3	3	3	1	3	3	1	3	2	3	3	4	3	1	3	3	1	1	1	0	2	3	2	1	3	3	3	0	0	0	0	0	0	0	0
business	commerc	commerce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	3	0	4	4	3	2	3	3	3	4	3	3	3	4	4	4	4	3	4	4	2	3	4	3	2	4	4
business	busi	Business	0	1	0	1	0	1	0	0	3	4	3	2	3	3	4	1	2	1	2	1	3	3	3	1	4	3	3	1	3	0	0	0	0	0	3	3	1	1	1	3	3	1	4	4	3	3	2	2
business	manag	Management Studies	2	0	0	2	2	1	2	0	3	1	2	1	2	2	1	1	1	2	4	1	1	3	2	2	4	4	4	0	4	3	3	1	1	2	3	0	3	3	1	3	2	4	3	2	3	3	3	3
business	busi	business	0	0	2	2	3	2	4	2	2	2	4	1	3	2	2	0	1	3	4	2	0	2	1	0	2	4	4	2	4	0	0	0	0	0	2	2	2	0	0	0	0	0	0	2	1	0	0	1
business	account	accounting	1	0	0	1	0	2	0	1	3	2	2	2	2	2	2	2	2	1	3	2	2	4	2	2	2	2	2	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
business	busi manag	business management	1	0	1	0	0	0	0	0	3	4	2	0	0	4	0	3	1	2	3	2	2	1	1	3	2	4	2	2	3	1	2	3	2	1	3	1	2	2	1	1	0	1	0	1	0	0	0	1
business	busi	Business	0	2	3	1	2	3	2	2	4	3	3	3	2	3	2	3	2	3	3	2	3	2	2	3	3	3	3	3	4	2	3	2	0	3	3	3	4	2	4	3	1	3	2	1	3	3	1	1
business	account	accounting	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	3	0	2	0	0	2	0	0	1	2	0	0	1	2	0	3	2	2	1	2	0	1	2
business	busi administr	Business Administration	2	2	0	2	2	2	2	2	3	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3	4	4	2	0	3	1	3	3	3	4	3	0	1	2	4	1	1	2	2	0	2	2	2	1
business	busi	Business	2	4	4	3	3	3	2	4	2	1	1	3	2	1	2	1	2	2	2	1	2	3	2	3	1	3	0	3	3	1	3	0	0	1	3	1	3	3	1	3	1	1	1	1	1	1	3	1
business	financ	Finance	3	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	2	4	3	2	3	2	0	3	4	3	0	2	0	1	0	0	4	0	4	0	4	3	3	0	4	4	0	4	3	3	3	3
business	actuari	Actuarial Science	2	1	2	2	1	1	2	2	4	1	2	1	1	1	2	2	3	3	3	4	3	0	2	3	4	4	4	3	4	1	2	1	3	2	3	1	4	1	2	1	1	2	3	1	3	3	2	1
business	busi	Business	1	2	2	2	0	2	1	0	2	2	1	1	1	3	1	2	2	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	3	4	1	2	2	1	2	1	2	2	1	1	2	1	1
business	account	accounting	1	0	0	1	0	1	1	0	2	3	3	1	2	2	1	0	0	1	4	3	4	0	0	4	3	3	2	1	3	4	3	1	0	0	2	4	3	1	2	0	4	3	4	4	3	2	2	3
business	actuari	Actuarial Science	2	0	4	4	1	3	2	2	3	3	1	3	0	0	0	4	4	2	3	4	4	4	4	2	4	3	1	4	4	2	1	0	2	1	3	3	4	3	1	2	2	3	4	4	4	4	3	3
business	financ	finance	2	3	0	2	2	3	1	0	1	0	0	0	0	2	2	0	2	1	3	0	4	3	3	3	4	3	3	0	4	1	1	0	3	1	4	4	4	0	3	0	4	2	4	4	4	4	4	1
business	busi	Business	2	1	0	1	0	0	2	0	4	4	4	4	4	4	4	4	4	0	0	0	0	0	1	0	4	4	4	4	4	4	3	4	4	4	4	3	4	4	4	4	4	4	1	4	3	4	4	4
business	busi	business	1	2	0	1	0	1	1	2	3	2	1	1	0	1	1	0	0	3	1	1	0	1	1	2	3	2	4	3	4	4	4	4	1	4	4	2	4	4	2	3	4	4	4	4	0	4	4	4
business	busi	Business	2	3	0	0	3	3	3	2	1	3	2	0	1	0	1	0	0	0	4	0	2	0	4	4	0	2	1	2	2	0	0	2	0	0	1	0	1	2	0	0	0	4	0	0	3	2	0	2
business	busi	business	3	1	0	0	0	0	1	0	3	3	1	3	1	3	1	1	3	1	4	4	3	4	1	3	4	3	3	3	4	4	4	4	4	1	3	3	4	4	3	4	3	3	1	3	1	1	1	3
business	market	Marketing	1	3	1	1	1	3	1	3	2	4	1	2	1	2	1	2	0	2	1	1	1	1	3	3	2	1	3	1	2	3	3	1	2	2	3	1	3	2	1	2	1	2	1	1	1	1	1	1
business	busi manag	Business Management	1	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	1	0	2	1	2	2	0	4	3	4	3	4	4	0	4	1	1	3	2	4	3	4	1	3	0	2	2	0	0	2	2
business	human resourc	Human Resources	2	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	4	1	2	3	0	1	3	0	4	1	1	0	4	0	3	4	3	2	1	3
business	financ	finance	2	0	0	0	3	3	2	1	3	1	2	1	3	0	2	1	2	0	1	2	0	2	1	1	4	1	0	1	3	0	0	0	1	1	2	1	2	1	0	2	1	2	3	2	4	4	3	2
business	manag	Management	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	0	3	0	0	0	1	0	3	0	4	0	0	0	1	0	0	0	0	0	3	0
business	market	Marketing	0	0	0	0	0	2	0	0	4	4	4	3	3	4	4	2	3	3	3	3	3	4	1	3	4	4	4	3	4	3	1	0	4	2	4	1	4	3	4	4	3	2	4	3	2	3	4	2
business	busi manag	Business and management	1	1	2	1	1	1	1	1	3	3	2	2	2	3	2	2	2	3	3	2	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	1	3	1	2	1	2	1	1	1	2
business	busi	business	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	0	3	0	0	0	3	3	0	3	3	3	1	0	2	1	4	1	4	2	2	2	3	3	2	4	1	1	2	2
business	manag	Management 	2	2	3	1	0	1	1	0	3	2	2	3	2	2	1	1	3	4	3	3	3	3	3	3	4	4	3	4	3	3	3	2	0	0	3	2	2	2	0	3	3	2	1	3	1	2	0	2
business	busi	business	0	1	0	1	1	2	2	2	2	1	2	3	2	2	2	2	2	3	0	3	3	3	3	1	4	3	4	3	4	3	4	3	4	3	3	0	4	3	4	3	3	2	3	3	3	3	4	3
business	busi	business	1	2	0	0	0	0	1	2	1	0	0	0	1	0	1	0	1	1	0	0	1	1	4	1	4	2	0	1	2	2	1	0	2	0	1	2	3	2	4	1	2	0	2	2	2	3	2	0
business	busi	business	2	2	0	0	0	2	2	2	0	0	0	0	0	0	0	2	2	4	2	2	2	0	4	2	4	4	2	2	4	4	2	4	4	2	4	4	4	4	4	2	4	2	2	2	0	4	4	2
business	market	marketing	0	0	0	2	0	0	0	0	2	2	3	1	2	3	3	2	1	2	2	3	3	2	4	3	3	4	2	4	4	4	4	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
business	busi	business	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	2	2	0	0	2	3	0	0	0	1	0	0	0	2	1	3	2	2	2	0	2	2	0	1	2	0	0	1	2
business	busi	business	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	3	3	2	3	2	1	0	1	1	2	0	1	2	1	0	1	2	1	0	0	1	0	0
business	busi administr	Business Administration	2	0	1	0	0	1	1	1	3	0	0	0	0	0	1	0	3	4	3	4	3	3	2	1	4	4	4	4	4	4	4	2	4	4	3	4	4	4	4	4	4	3	3	4	2	3	4	4
business	human resourc	Human Resources	1	3	2	1	1	3	1	3	4	3	3	3	4	4	3	3	1	0	1	1	1	2	2	1	3	3	3	2	3	2	2	2	1	1	1	1	3	1	1	2	2	1	1	2	2	1	1	1
business	busi administr	Business Administration	2	2	2	2	0	2	2	2	0	4	1	0	0	1	0	0	0	0	1	0	0	0	0	0	4	3	2	0	4	2	0	2	2	1	2	0	2	2	3	1	2	2	4	0	3	4	4	2
business	financ	Finance	0	0	0	0	0	0	1	0	0	2	2	2	1	2	2	2	1	2	0	1	1	1	2	0	2	1	1	1	3	1	1	0	0	0	2	0	2	1	1	0	0	0	1	0	2	3	2	1
