College Major	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
acting, creative writing	0.5	0.53125	0.96875	0.71875	0.4375	0.34375
actor training	0.453125	0.578125	0.9375	0.796875	0.1875	0.109375
actruarial science	0.6875	0.59375	0.625	0.34375	0.25	0.53125
actuarial	0.421875	0.375	0.4375	0.390625	0.34375	0.484375
actuarial science	0.3786057692307692	0.578125	0.5048076923076923	0.5973557692307693	0.4543269230769231	0.49399038461538464
actuarial sciences	0.25	0.125	0.125	0.78125	0.625	0.8125
actuarial studies	0.59375	0.59375	0.53125	0.84375	0.78125	0.9375
actuarial studies/biomedical science	0.53125	0.5	0.4375	0.3125	0.25	0.5
acupuncture & oriental medicine	0.21875	0.6875	0.6875	0.59375	0.40625	0.09375
addiction and mental health	0.375	0.46875	0.15625	0.6875	0.09375	0.4375
addiction counseling	0.18125	0.475	0.4125	0.75625	0.25	0.15
addiction counseling and psychology	0.1875	0.59375	0.53125	0.53125	0.09375	0.03125
addiction counseling, journalism	0.375	0.375	0.625	0.53125	0.3125	0.21875
addiction studies	0.14583333333333334	0.5	0.4375	0.6979166666666666	0.16666666666666666	0.13541666666666666
addictions	0.46875	0.6875	0.5625	0.75	0.625	0.375
addictions counseling	0.03125	0.28125	0.1875	0.78125	0.265625	0.109375
adiction counseling	0.3125	0.90625	0.625	0.84375	0.25	0.125
adiministração de empresas	0.0	0.25	0.75	0.625	0.4375	0.5
admin	0.09375	0.59375	0.5625	0.7604166666666666	0.3541666666666667	0.3333333333333333
adminis	0.25	0.03125	0.34375	0.65625	0.375	0.65625
administation	0.3125	0.3125	0.0	0.4375	0.3125	0.46875
administracao	0.59375	0.375	0.46875	0.90625	0.84375	0.84375
administratiom	0.21875	0.65625	0.09375	0.21875	0.21875	0.5
administration	0.32766544117647056	0.43795955882352944	0.48253676470588236	0.5721507352941176	0.4655330882352941	0.4719669117647059
administration and science	0.4375	0.53125	0.65625	0.75	0.5625	0.46875
administration assistance	0.375	0.6875	0.34375	0.71875	0.40625	0.375
administration of criminal justice	0.28125	0.46875	0.6875	0.78125	0.59375	0.4375
administration of justice	0.24375	0.4125	0.48125	0.74375	0.3125	0.325
administration science	0.375	0.375	0.6875	0.59375	0.71875	0.40625
administration/nursing	0.09375	0.59375	0.3125	0.59375	0.21875	0.1875
administrative	0.3125	0.265625	0.21875	0.5	0.359375	0.578125
administrative assistance	0.0	0.375	0.5625	0.96875	0.9375	0.625
administrative assistant	0.515625	0.53125	0.625	0.625	0.625	0.59375
administrative management	0.8125	0.75	0.75	0.9375	0.625	0.90625
administrative office	0.1875	0.1875	0.0	0.53125	0.21875	0.71875
administrative office - medical	0.09375	0.875	0.3125	0.5	0.3125	0.3125
administrative science	0.234375	0.265625	0.546875	0.921875	0.75	0.6875
administrative support technology	0.0	0.25	0.0	0.25	0.125	0.625
administrator	0.5625	0.46875	0.65625	0.75	0.59375	0.65625
administrator business	0.03125	0.0	0.1875	0.28125	0.4375	0.09375
administrator management	0.59375	0.65625	0.6875	0.875	0.5	0.875
administravie medical assistant	0.53125	0.3125	0.1875	0.8125	0.65625	0.65625
administração	0.3055555555555556	0.3576388888888889	0.4340277777777778	0.6041666666666666	0.5	0.5208333333333334
administração de empresas	0.28125	0.125	0.59375	0.59375	0.5625	0.65625
adminstracao	0.59375	0.4375	0.21875	0.78125	0.78125	0.78125
admistraçao	0.21875	0.40625	0.625	0.21875	0.1875	0.21875
admistração	0.3125	0.5	0.625	0.625	0.46875	0.1875
admnistração	0.40625	0.40625	0.5625	0.90625	0.71875	0.59375
adpr	0.09375	0.34375	0.65625	0.46875	0.40625	0.1875
adult and child care education	0.21875	0.34375	0.28125	0.8125	0.1875	0.5
adult development	0.03125	0.125	0.65625	0.71875	0.0	0.0
adult ed	0.0	0.0	0.0625	0.5625	0.21875	0.0
adult education	0.13125	0.42916666666666664	0.5375	0.6666666666666666	0.35208333333333336	0.3020833333333333
adult education & romance languages	0.09375	0.03125	0.28125	0.4375	0.15625	0.375
adult education and hr	0.1875	0.9375	0.84375	0.75	0.6875	0.3125
adult education curriculum design and develop	0.03125	0.125	0.4375	0.90625	0.25	0.53125
advanced journalism and communication	0.59375	0.375	0.34375	0.59375	0.125	0.3125
advanced telecomms	0.40625	0.15625	0.25	0.53125	0.40625	0.71875
advertisement	0.125	0.1875	0.875	0.65625	0.28125	0.0625
advertising	0.2330357142857143	0.4236607142857143	0.596875	0.5339285714285714	0.39955357142857145	0.23616071428571428
advertising & marketing	0.15625	0.46875	0.5625	0.5625	0.625	0.46875
advertising & pr	0.0	0.28125	0.34375	0.65625	0.46875	0.15625
advertising / strategy	0.53125	0.34375	0.3125	0.5625	0.59375	0.34375
advertising and graphic design	0.15625	0.625	0.71875	0.53125	0.09375	0.09375
advertising and marketing	0.1875	0.34375	0.53125	0.53125	0.40625	0.28125
advertising and public relations	0.2604166666666667	0.8229166666666666	0.71875	0.6458333333333334	0.4166666666666667	0.125
advertising, art & design	0.4375	0.78125	0.46875	0.5	0.53125	0.5625
advertisinh	0.21875	0.1875	0.53125	0.09375	0.25	0.3125
advertisment	0.40625	0.625	0.75	0.5625	0.4375	0.46875
aero eng	0.53125	0.53125	0.40625	0.3125	0.21875	0.1875
aeronautical engineering	0.5182291666666666	0.6328125	0.49609375	0.5130208333333334	0.3763020833333333	0.4296875
aeronautics	0.546875	0.5208333333333334	0.484375	0.390625	0.3385416666666667	0.359375
aeronautics and astronautics	0.59375	0.75	0.59375	0.5	0.21875	0.5625
aerospace	0.5729166666666666	0.59375	0.4375	0.2708333333333333	0.20833333333333334	0.4270833333333333
aerospace electronics	0.59375	0.671875	0.609375	0.671875	0.640625	0.640625
aerospace eng	0.3125	0.65625	0.4375	0.4375	0.5	0.40625
aerospace engineering	0.4444444444444444	0.6331018518518519	0.4710648148148148	0.4375	0.2650462962962963	0.30092592592592593
aesthetics and cosmetics	0.28125	0.625	0.65625	0.53125	0.34375	0.40625
african american studies	0.0625	0.125	0.53125	0.4375	0.09375	0.0625
african studies	0.3020833333333333	0.4791666666666667	0.4166666666666667	0.6770833333333334	0.3020833333333333	0.4375
africana studies	0.59375	0.5	0.78125	0.8125	0.53125	0.375
afro american history	0.8125	0.5625	0.9375	1.0	1.0	1.0
ag business econ	0.125	0.5	0.625	1.0	0.625	0.75
ag certified	0.09375	0.59375	0.0	0.8125	0.0625	0.4375
ag economics	0.53125	0.53125	0.25	0.5625	0.3125	0.40625
ag education and technology	0.0	0.25	0.46875	0.65625	0.21875	0.125
ag op	0.46875	0.75	0.5625	0.53125	0.21875	0.25
aged care	0.0625	0.1875	0.25	0.25	0.0625	0.0625
ageo science	0.375	0.3125	0.28125	0.8125	0.34375	0.6875
aging	0.28125	0.65625	0.0625	0.15625	0.0625	0.375
agribusiness	0.390625	0.296875	0.84375	0.796875	0.453125	0.265625
agribusiness and applied economics	0.1875	0.09375	0.1875	0.125	0.71875	0.90625
agribusiness management	0.46875	0.6875	0.625	0.96875	0.40625	0.8125
agribussiness	0.5	0.6875	0.46875	1.0	0.9375	0.71875
agric economics, psychology	0.15625	0.625	0.5	1.0	0.125	0.0625
agriculature	0.53125	0.65625	0.5625	0.71875	0.65625	0.46875
agricultural	0.515625	0.78125	0.25	0.375	0.453125	0.484375
agricultural business and economics	0.53125	0.9375	0.375	0.5625	0.5	0.34375
agricultural communications	0.53125	0.4375	0.46875	0.5625	0.46875	0.71875
agricultural economics	0.53125	0.6875	0.3125	0.625	0.34375	0.6875
agricultural education	0.21875	0.5520833333333334	0.375	0.5104166666666666	0.2916666666666667	0.19791666666666666
agricultural engineer	0.5625	0.78125	0.53125	0.8125	0.21875	0.15625
agricultural engineering	0.50625	0.73125	0.44375	0.475	0.325	0.45625
agricultural leadership and development	0.46875	0.3125	0.1875	0.375	0.375	0.25
agricultural science	0.4	0.546875	0.371875	0.465625	0.3	0.440625
agricultural science and it	0.125	0.9375	0.75	0.84375	0.125	0.1875
agricultural sciences	0.3203125	0.625	0.3046875	0.5078125	0.3984375	0.4140625
agriculture	0.38139204545454547	0.6164772727272727	0.4275568181818182	0.5752840909090909	0.390625	0.43323863636363635
agriculture - plant and soil science	0.5	0.90625	0.90625	0.65625	0.46875	0.53125
agriculture biotechnology	0.375	0.65625	0.28125	0.59375	0.65625	0.59375
