Realistic	Investigative	Artisitc	Social	Enterprising	Conventional	College Major
0.0	0.1875	0.40625	0.71875	0.5	0.40625	Education
0.5	0.75	0.3125	0.5625	0.4375	0.53125	biology
0.1875	0.5625	0.71875	0.625	0.0625	0.0625	Music
0.0625	0.65625	0.4375	0.40625	0.0	0.0	English
0.03125	0.40625	0.6875	0.875	0.125	0.0625	Psychology
0.65625	0.84375	0.34375	0.8125	0.65625	0.625	Civil Engineering
0.46875	0.8125	0.59375	0.84375	0.59375	0.5	Materials Engineering
0.0	0.0	0.5625	0.5625	0.59375	0.1875	Management
0.125	0.75	0.21875	0.6875	0.25	0.1875	Nursing
0.0625	0.6875	0.90625	0.78125	0.25	0.1875	Psychology
0.1875	0.75	0.78125	0.71875	0.46875	0.40625	nursing/psychology
0.59375	0.59375	0.9375	0.9375	0.8125	0.8125	Electronics & Comm Engg
0.71875	0.90625	0.65625	0.53125	0.59375	0.46875	Applied Science
0.71875	0.59375	0.6875	0.71875	0.75	0.71875	Petroleum engineering
0.4375	0.875	0.375	0.8125	0.5625	0.46875	Psychology
0.34375	0.0625	0.28125	0.8125	0.65625	0.8125	Business
0.4375	0.3125	0.34375	0.59375	0.375	0.59375	Education
0.59375	0.25	0.6875	0.84375	0.59375	0.5	English
0.15625	0.0625	0.65625	0.84375	0.125	0.1875	MASS MEDIA
0.75	0.78125	0.4375	0.8125	0.84375	0.78125	computer science
0.21875	0.4375	0.28125	0.71875	0.1875	0.53125	Psychology
0.34375	0.5625	0.0	0.84375	0.1875	0.375	psychology
0.0	0.125	0.4375	0.90625	0.46875	0.0	Finance
0.0	0.0	0.0	0.0	0.0	0.09375	computer science
0.34375	0.78125	0.625	0.5625	0.03125	0.125	Studio Art
0.0	-0.03125	0.125	0.75	0.34375	0.09375	human services
0.125	0.78125	0.375	0.59375	0.3125	0.5	Psychology
0.34375	0.6875	0.21875	0.71875	0.21875	0.40625	Nursing
0.625	0.90625	0.53125	0.8125	0.34375	0.15625	community health
0.34375	0.75	0.65625	0.71875	0.59375	0.21875	Communications and marketing
0.6875	0.34375	0.5	0.375	0.46875	0.15625	health admin
0.65625	0.59375	0.5625	0.78125	0.28125	0.625	Biochemistry
0.125	0.125	0.5625	0.6875	0.5625	0.0625	counseling
0.40625	0.8125	0.75	0.8125	0.21875	0.28125	writing, literature
0.0625	0.8125	0.09375	0.65625	0.34375	0.625	Marketing
0.4375	0.90625	0.28125	0.375	0.3125	0.53125	no
0.46875	0.6875	0.53125	0.59375	0.53125	0.28125	political science
0.34375	0.875	0.84375	0.5625	0.03125	0.125	music
0.28125	0.21875	0.75	0.75	0.3125	0.125	literature
0.28125	0.1875	0.4375	0.5625	0.59375	0.53125	Fashion Merchandising and Retail
0.46875	0.84375	0.5625	0.75	0.25	0.375	Biology
0.3125	0.34375	0.03125	0.75	0.6875	0.8125	economics
0.09375	0.28125	0.625	0.84375	0.28125	0.15625	IT
0.5	0.28125	0.6875	0.9375	0.4375	0.3125	Psychology
0.1875	0.78125	0.28125	0.5	0.1875	0.53125	Psychology
0.0625	0.78125	0.40625	0.21875	0.09375	0.3125	political science
0.0	0.40625	0.9375	0.9375	0.75	0.53125	Human Services
0.25	0.40625	0.5	0.6875	0.25	0.28125	Business
0.0	0.53125	0.5625	0.59375	0.46875	0.1875	Nursing
0.4375	0.6875	0.78125	0.46875	0.40625	0.3125	Business Management
0.0625	0.375	0.78125	0.625	0.3125	0.0625	counselling
0.40625	0.1875	0.09375	0.71875	0.65625	0.71875	commerce
0.28125	0.375	0.3125	0.53125	0.21875	0.4375	Astrophysics 
0.3125	0.78125	0.78125	0.15625	0.34375	0.28125	philosophy
0.0625	0.75	1.0	0.96875	0.375	0.125	Mental health
0.3125	0.65625	0.75	0.875	0.625	0.5625	psychology
0.4375	0.53125	0.21875	0.53125	0.1875	0.78125	Neuroscience
0.25	0.28125	0.15625	0.71875	0.53125	0.5	Psychology 
0.4375	0.40625	0.625	0.46875	0.46875	0.78125	Information Technology
0.59375	1.0	0.8125	1.0	0.375	0.25	History
0.46875	0.84375	0.75	0.9375	0.78125	0.71875	History
0.6875	0.53125	0.53125	0.59375	0.3125	0.34375	History
0.15625	0.96875	0.8125	0.625	0.0	0.25	Physics
