major_category	major_preprocessed	major_original	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
	liber	liberal studies	0	1	0	0	0	0	0	1	3	3	3	2	2	2	2	1	4	3	3	3	3	3	1	2	3	4	4	2	4	4	4	3	2	2	3	3	2	2	3	2	2	0	2	1	1	2	2	1
	liber	Liberal Studies	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	4	3	0	4	0	0	0	0	0	0	3	0	4	0	3	0	0	0	3	3	3	0	1	0
	liber	Liberal studies	4	4	3	3	2	4	3	4	4	4	4	4	4	4	4	4	3	2	4	2	3	3	3	3	4	3	4	4	4	4	4	3	2	3	3	2	3	2	3	4	0	2	1	3	3	2	2	3
	liber	Liberal Studies	0	0	0	0	0	0	0	0	2	2	2	1	1	0	0	0	0	1	1	2	3	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
	liber	Liberal studies 	0	2	0	0	0	0	0	3	0	1	3	1	0	2	0	1	0	0	3	4	2	3	1	2	3	3	2	4	3	3	1	1	0	3	2	4	1	4	3	1	0	0	0	1	0	0	0	0
	liber	Liberal Studies	3	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	1	1	2	0	0	4	4	3	3	3	2	4	1	0	1	4	0	3	0	3	1	1	0	0	0	0	2	1	0
	liber	liberal studies	0	0	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	0	0	2	2	3	0	1	2	2	0	2	3	2	2	2	0	1	2	3	2	1	1	2	2	0	0	2	0	0	0	0
	liber	Liber Studies	1	0	0	1	0	0	2	0	1	4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	3	2	1	0	2	2	0	1	0	1	1	2	1	0	0	1	4	1	2	3	3	2	3	2
	liber	Liberal Studies	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	2	4	2	2	4	1	2	4	2	4	2	2	2	4	4	2	4	4	2	4	4
	liber	liberal studies 	2	1	1	0	0	3	3	3	3	1	1	3	3	2	3	3	1	3	1	3	4	2	3	3	4	1	3	3	4	2	3	2	2	3	2	3	3	3	3	3	1	3	3	3	3	3	3	2
	liber	Liberal Studies	2	3	3	2	0	3	1	3	3	3	2	3	1	3	2	3	2	2	2	3	1	3	3	3	3	3	4	2	4	2	2	2	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0
	liber	liberal studies	3	1	3	1	0	1	1	0	2	1	2	1	1	1	1	1	0	0	0	0	0	0	4	0	4	3	4	3	3	4	4	4	0	0	1	0	0	0	0	0	4	4	3	4	4	4	2	3
	liber	Liberal Studies	2	1	2	2	0	3	1	1	3	3	3	3	3	3	3	3	1	3	3	3	4	3	2	3	3	2	2	2	2	1	1	1	0	1	1	1	2	1	0	1	1	1	1	1	2	1	1	1
	liber	Liberal Studies	0	2	0	0	0	0	0	0	0	3	4	0	0	4	0	3	0	2	4	4	4	4	0	2	2	1	0	4	0	4	4	3	0	4	0	4	0	4	1	1	1	0	0	0	0	2	0	0
	liber	Liberal Studies	0	2	0	0	0	2	0	2	4	4	4	4	4	4	3	2	2	3	4	4	2	3	0	2	3	3	2	2	2	0	3	4	2	0	4	2	2	0	3	0	3	0	4	3	3	4	4	3
	liber	Liberal Studies	0	1	0	0	0	1	0	2	2	4	3	2	1	3	1	1	2	2	1	3	0	4	2	1	2	2	3	2	3	3	4	2	2	3	2	1	3	3	4	0	1	2	1	0	2	2	1	0
	liber	liberal studies	0	3	0	3	0	2	0	3	0	2	2	1	0	1	3	3	0	1	1	3	4	3	4	3	0	0	0	0	1	0	1	0	0	0	2	2	1	0	1	1	1	2	0	1	0	1	1	1
	liber	Liberal Studies	0	0	0	0	0	0	0	0	2	3	4	3	2	4	1	4	0	3	3	2	3	0	0	3	4	3	2	1	4	0	2	0	0	1	2	0	2	2	3	3	0	0	1	1	1	2	0	0
	liber	Liberal Studies	0	0	0	0	0	0	0	0	2	4	4	4	3	4	2	4	1	3	2	2	3	0	0	3	4	2	2	2	4	1	2	0	1	2	2	0	3	3	4	3	0	0	0	1	2	1	0	0
	liber	Liberal studies	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0
	liber	Liberal Studies	0	0	0	0	0	0	0	0	4	3	4	4	4	2	3	0	0	0	4	1	3	2	1	1	1	4	4	3	2	3	4	3	0	1	0	0	3	0	2	0	0	0	0	0	1	2	0	0
	liber	Liberal studies	1	1	0	0	0	0	0	2	3	1	3	0	4	2	2	3	2	1	3	4	4	4	1	3	3	1	2	2	4	4	4	2	0	2	0	0	3	4	0	2	0	2	0	0	1	4	0	0
	liber	liberal studies	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	2	3	4	3	3	3	3	3	2	2	3	3	3	2	3	3	2	2	3	2	2	3	2	3	2	2	1	2	2	2
	liber	Liberal studies 	1	0	0	0	0	0	0	0	2	3	3	0	0	2	0	0	1	1	3	2	2	2	3	2	3	4	2	3	1	4	4	2	2	0	1	2	2	2	3	0	1	0	0	1	0	1	0	0
	liber	Liberal Studies	2	3	1	2	2	3	2	2	3	3	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	1	3	3	2	3	3	1	1	3	4	2	2	2	2	4	3	4	4	4	3	3	3
	liber	Liberal Studies	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	2	2	2	3	2	2	2	2	3	4	3	3	4	4	4	3	2	2	2	3	2	3	2	2	0	0	0	2	0	0	0	0
	liber	Liberal Studies	4	0	0	0	0	1	3	0	4	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	2	0	1	3	0	1	2	0	0	0	3	0	3	1	2	0	3
	liber	Liberal Studies	1	0	0	1	0	0	0	0	3	3	3	3	1	0	0	0	0	1	3	3	3	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
	liber	Liberal Studies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	2	3	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	liber	liberal studies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0
	liber	Liberal Studies 	0	0	0	0	0	0	0	0	1	1	2	2	2	3	1	3	0	0	3	1	2	2	3	2	1	2	2	3	1	3	3	2	0	1	3	2	1	2	1	1	0	1	0	1	0	3	0	0
	liber	liberal studies	4	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	1	4	1	3	0	0	2	4	1	4	3	2	3	4	0	2	1	1	1	1	2	0	1	0	0	1	0	0	0	0
	liber	Liberal Studies	1	0	0	1	0	0	0	0	4	2	2	3	2	2	2	0	0	0	0	0	0	0	2	0	4	4	3	1	4	4	4	2	0	2	3	0	1	1	3	1	2	1	1	3	2	0	0	1
	liber	liberal studies 	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	4	0	4	2	4	0	0	0	4	0	2	0	4	0	4	4	0	4	2	0	4	4
	liber	liberal	0	3	3	1	1	2	0	1	4	4	4	4	4	4	2	4	4	4	2	4	4	4	2	2	0	2	0	2	3	1	2	2	0	1	2	2	2	1	3	2	0	0	0	1	1	0	1	1
	liber	liberal studies	2	3	0	0	0	1	0	1	0	4	0	0	0	1	0	0	0	0	2	2	2	3	3	3	4	2	3	4	3	2	0	1	0	3	0	0	3	0	3	3	2	0	2	3	0	0	2	2
	liber	liberal studies	2	0	0	0	0	2	2	0	4	3	3	2	3	3	3	3	1	3	2	3	4	4	2	2	2	4	2	2	3	4	4	3	3	4	0	3	3	4	3	3	1	2	0	3	0	0	3	2
	liber	Liberal Studies 	1	4	1	3	2	4	1	3	2	3	3	1	2	3	1	2	0	2	1	1	1	2	3	2	3	3	3	4	3	4	4	1	0	1	2	2	0	1	0	2	2	1	1	1	0	1	2	0
	liber	liberal studies	0	0	0	0	0	0	0	0	2	1	1	2	2	0	1	0	2	2	1	3	4	3	0	1	3	4	3	3	4	3	1	0	2	2	3	1	3	2	1	0	3	2	3	2	2	2	1	0
	liber	Liberal Studies	3	3	0	1	2	3	3	1	4	2	2	3	2	3	2	2	1	1	1	2	3	2	0	0	2	2	1	2	1	0	3	3	0	2	0	3	0	2	1	1	3	3	1	3	2	1	1	1
	liber	Liberal Studies	1	3	1	3	2	3	1	2	3	3	3	1	2	3	1	2	1	1	4	2	1	3	1	2	2	2	1	3	2	0	2	1	0	0	2	3	3	1	0	0	2	1	2	2	2	1	0	0
	liber	liberal	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	liber	liberal studies	0	3	1	1	0	1	1	3	4	4	4	1	3	4	4	3	1	1	2	1	1	3	3	3	2	3	1	2	1	1	1	0	0	1	1	0	0	0	0	0	1	2	1	1	1	2	1	0
	liber	Liberal Studies	1	0	0	1	0	0	1	0	3	2	2	2	1	1	0	0	0	0	2	3	3	2	0	2	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	1
	liber	Liberal Studies	3	3	3	2	2	2	2	2	3	4	2	2	2	3	2	2	4	3	2	2	3	4	3	2	4	3	2	2	3	4	4	2	4	3	3	2	3	3	2	3	4	4	3	3	3	2	3	2
	liber	Liberal Studies 	4	2	0	0	0	2	0	1	4	3	4	4	3	3	2	0	4	2	2	2	2	4	2	0	3	4	3	3	4	3	3	4	1	3	2	3	1	2	1	2	0	0	1	0	0	2	1	0
	liber	Liberal studies	2	0	0	0	0	0	0	0	2	1	0	1	2	3	1	1	0	0	3	4	2	3	4	1	3	2	3	4	4	3	4	2	3	1	1	1	2	2	1	2	1	1	1	2	2	2	0	2
	liber	liberal studies	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	1	3	1	4	2	1	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
	liber	Liberal Studies	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	2	0	0	3	3	2	3	0	4	4	4	3	4	3	3	3	0	0	3	0	3	0	1	2	0	0	0	1	0	2	0	0
	liber	Liberal Studies	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	liber	Liberal Studies	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	0	2	3	4	0	0	1	2	0	0	0	2	2	0	1	1	2	0	0	0	0
	liber	liberal studies	0	1	0	0	0	0	0	1	1	2	2	0	1	2	0	1	2	2	3	4	4	2	3	2	2	3	2	3	2	3	3	2	2	2	1	1	1	1	2	2	0	2	1	1	0	1	0	1
	liber	Liberal Studies	0	0	0	4	0	3	0	1	2	2	2	0	0	2	0	0	3	4	4	4	4	4	4	0	4	3	2	4	4	3	3	0	0	1	0	0	0	4	2	0	1	0	2	0	4	2	2	0
	liber	Liberal studies	0	0	0	1	1	3	1	2	2	1	1	1	1	1	1	2	3	4	3	4	4	4	3	3	4	3	3	3	4	4	3	3	1	1	3	2	3	2	2	2	3	1	3	3	3	2	2	2
	liber	Liberal Studies	2	3	3	0	2	3	2	3	4	4	4	3	3	4	3	3	1	3	4	3	4	4	4	4	3	4	3	4	4	0	4	4	0	2	1	1	2	0	1	3	0	2	2	0	0	2	0	2
	liber	Liberal studies	2	4	0	0	0	0	0	3	4	0	0	4	0	0	0	4	1	4	3	3	4	1	4	4	4	0	2	4	0	0	2	0	2	0	4	1	0	1	2	0	3	1	0	0	0	0	1	0
	liber	liberal studies	1	1	0	0	0	0	0	0	4	3	2	1	3	2	2	2	3	2	4	3	4	4	3	3	3	4	4	3	4	4	4	4	2	0	2	2	2	2	1	3	0	0	0	0	0	0	0	0
	liber	Liberal Studies	0	2	0	2	1	1	2	2	3	1	3	2	2	0	2	1	0	1	3	1	3	3	0	3	0	3	1	0	3	0	4	3	0	0	0	1	0	0	0	0	0	0	2	1	2	4	0	1
	liber	Liberal Studies	2	1	0	0	0	1	1	1	1	3	1	0	2	2	1	3	0	0	3	0	2	1	0	0	3	3	1	0	1	1	3	1	1	3	2	2	3	3	3	2	0	0	0	0	1	2	1	0
	liber	liberal studies	0	4	0	0	0	0	0	3	3	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	3	2	4	0	4	2	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
	liber	liberal studies	2	1	0	0	0	0	0	0	4	3	3	3	0	0	0	2	3	2	3	3	4	4	0	3	3	4	2	3	4	4	4	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0
	liber	Liberal Studies	2	0	0	0	0	2	1	2	3	0	2	2	0	2	1	0	1	0	1	2	0	2	2	0	2	2	2	3	2	2	2	2	4	1	2	3	4	2	3	2	0	0	0	2	1	2	2	2
	liber	Bachelor of Liberal Studies	3	1	3	3	0	0	2	1	4	4	4	4	2	3	4	4	2	4	3	4	3	4	4	3	3	3	3	2	2	2	2	2	3	1	2	3	2	3	3	2	3	2	3	1	0	3	3	3
	liber	Liberal Studies	0	1	0	1	1	0	1	1	3	3	3	0	2	2	3	1	0	3	1	2	2	2	2	0	3	4	4	2	3	4	4	3	0	1	3	1	2	2	0	3	2	1	2	1	0	0	1	0
	liber	liberal studies	0	3	0	0	0	3	1	2	2	3	2	1	1	2	2	2	1	1	2	1	2	1	1	1	4	3	3	3	4	3	4	3	0	2	2	2	2	2	4	2	2	1	2	2	2	4	2	0
	liber	liberal studies	4	4	4	3	4	4	3	4	2	4	3	2	1	1	1	0	0	0	0	0	0	1	4	0	4	4	4	4	4	4	3	4	3	3	4	1	0	3	4	2	1	4	4	2	2	1	4	4
	liber	liberal studies	0	0	0	0	0	0	0	0	4	3	3	4	3	3	1	3	2	1	0	4	1	1	0	0	4	4	4	0	4	3	4	3	0	0	3	2	3	2	0	1	0	0	0	0	0	1	0	0
	liber	Liberal Studies	0	0	0	1	0	0	0	0	3	2	1	2	1	1	0	0	0	0	2	3	3	3	0	3	1	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0
	liber	Liberal Studies	2	0	0	2	0	0	0	1	1	2	1	1	1	1	1	1	4	3	2	4	4	4	1	2	3	2	1	2	3	3	4	2	1	2	2	1	2	2	2	2	0	2	2	2	2	2	2	4
	liber	Liberal Studies  	2	1	2	2	1	1	1	1	2	3	3	1	2	3	3	1	1	3	3	1	3	1	2	3	1	2	2	1	2	1	2	2	2	2	1	1	2	1	2	2	1	2	1	1	1	1	1	1
	liber	Liberal Studies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	3	0	3	3	3	2	2	0	2	2	3	2	0	1	3	3	1	0	0	0	0	2	0	0
	liber	Liberal Studies	0	1	2	1	1	1	2	1	2	1	1	3	0	1	0	0	1	2	1	3	4	3	3	0	4	4	4	4	4	3	3	3	0	1	3	1	3	1	0	1	1	2	2	2	2	2	1	2
	liber	associates in liberal studies	2	0	1	1	3	1	2	0	2	4	3	0	2	4	3	4	0	0	1	1	0	3	0	0	1	2	0	0	0	0	1	0	0	2	0	0	1	1	0	1	2	2	2	2	1	3	2	2
	liber	Liberal Studies	1	3	0	1	1	0	0	3	2	3	4	0	0	0	0	0	0	0	1	1	0	0	2	2	1	3	2	0	1	2	1	1	1	4	0	0	2	4	4	1	2	3	1	0	2	4	3	2
	liber	liberal studies	1	1	0	1	0	1	0	1	3	1	0	3	2	0	3	0	2	2	3	3	1	1	3	3	1	2	2	3	2	3	3	3	3	3	1	3	2	3	3	2	2	1	1	2	1	1	3	1
	liber	Liberal Studies	2	0	0	0	0	0	0	0	3	1	1	2	1	1	1	1	1	2	1	1	1	1	0	1	4	4	3	2	4	2	4	3	1	1	2	2	2	1	3	0	2	1	1	2	1	1	3	1
	liber	liberal studies	2	3	0	3	0	4	2	2	4	4	3	3	3	4	1	3	0	4	2	4	4	2	3	3	4	4	0	2	3	4	4	4	0	2	3	3	3	3	0	3	1	3	3	3	2	0	2	2
	liber	liberal studies	3	1	2	1	1	2	1	1	3	3	4	1	2	4	3	2	3	3	2	2	2	4	2	2	3	4	3	3	3	4	2	4	2	1	2	2	2	1	1	3	2	2	1	2	1	1	1	2
	liber	Liberal Studies	2	0	0	3	0	1	1	0	2	2	2	3	1	3	1	2	0	0	3	0	1	0	2	0	2	3	1	3	3	3	4	1	0	0	0	2	2	1	2	0	0	2	1	2	1	3	2	1
	liber	liberal studies	0	0	0	0	0	0	0	0	2	4	3	0	0	2	0	0	0	0	0	0	0	2	0	0	3	4	3	4	4	4	4	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
	liber	Liberal studies	2	0	0	2	0	2	1	1	2	4	4	4	3	3	3	2	0	4	4	2	1	2	3	0	4	4	4	3	3	3	2	2	1	0	2	1	2	1	2	1	4	2	1	2	1	2	2	1
	liber	Liberal Studies	0	0	0	0	0	0	0	1	3	3	3	2	2	2	2	2	0	0	4	2	2	0	0	1	4	4	4	2	3	2	4	3	0	0	1	0	0	1	4	0	2	0	0	2	2	0	2	2
	liber	Liberal Studies	1	2	0	3	0	2	1	1	3	3	3	1	2	4	3	3	3	4	3	3	4	3	3	4	3	4	3	2	3	4	4	4	0	1	1	1	1	1	1	1	3	3	0	3	3	3	1	3
	liber	Liberal Studies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	0	0	3	4	2	0	3	0	2	0	0	0	3	0	2	0	4	0	2	0	0	2	3	0	0	0
	liber	Liberal Studies	0	0	0	0	0	0	0	0	0	3	3	0	0	3	0	0	0	3	4	0	0	1	0	3	4	4	0	3	1	4	4	2	0	1	0	0	3	0	0	2	0	1	0	0	0	0	0	0
	liber	LIBERAL STUDIES	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	1	1	0	3	3	2	0	2	1	3	2	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
	liber	liberal studies	1	0	0	0	0	2	0	0	3	0	0	2	1	0	0	0	0	0	2	3	2	3	2	2	4	4	4	3	4	3	3	4	0	2	1	0	2	2	1	4	3	2	2	2	3	2	2	2
	liber	Liberal Studies	3	3	3	2	3	4	1	3	4	4	3	3	2	3	1	3	2	3	2	2	3	2	1	2	1	3	3	3	3	1	1	1	0	1	2	1	2	1	2	1	1	1	1	1	3	1	0	0
	liber educ	Liberal Education	0	2	0	0	0	2	0	0	4	0	2	3	3	0	3	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	3	4	4	4	4	3	3
	liber educ	Liberal Studies Education	3	1	1	0	3	1	1	1	3	3	3	1	2	3	1	3	0	0	2	0	0	1	1	1	3	3	3	0	3	2	2	2	1	2	2	0	2	2	2	3	2	1	0	1	0	1	2	2
	liber educ	Liberal Studies Education	1	1	1	0	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	2	2	2	1	1	3	3	2	2	2	3	4	1	2	1	2	2	2	2	1	2	1	1	0	2	1	1	1	1
	liber educ	liberal education	3	3	0	3	3	3	2	2	3	3	3	2	3	3	3	3	1	1	3	2	3	3	1	3	1	3	2	1	3	0	3	3	0	1	1	0	2	1	0	3	2	3	1	3	3	3	0	3
	liber studi	Liberal studie	0	0	0	0	0	0	0	0	1	3	2	2	1	3	0	3	3	4	4	4	4	4	4	4	3	4	1	4	3	0	3	2	2	1	0	2	1	0	3	0	0	0	0	1	0	2	1	0
	libral art	libral arts	2	2	2	3	2	3	3	3	4	1	0	2	2	1	2	1	0	0	1	0	0	1	2	0	0	1	3	2	2	1	0	3	2	2	1	0	2	1	2	0	2	2	2	3	2	2	1	2
	libral art	Libral Arts	2	2	0	0	1	3	2	2	3	3	3	0	0	2	0	1	1	3	4	2	3	3	3	3	2	3	2	2	2	3	3	3	0	2	3	3	2	2	0	3	1	0	0	1	0	2	0	0
	librari	Library	4	3	3	3	4	4	0	4	3	3	3	4	3	2	2	3	0	2	1	0	0	0	1	4	1	3	1	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
	librari	library	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	4	4	4	2	4	4	4	4	2	2	2	2	2	2	0	2	2	2	4	4	4	2	2	4
	librari inform	Library and information studies	2	0	0	1	0	0	0	0	0	0	3	1	2	2	0	0	0	3	3	0	0	0	2	3	2	3	2	3	3	3	3	3	0	1	3	1	3	3	2	3	3	0	3	3	3	1	1	3
	librari inform	Library and Information Studies	3	1	0	2	0	0	2	1	3	3	2	3	1	0	2	1	3	3	3	4	4	3	1	3	2	3	0	3	0	0	0	0	0	0	1	2	1	0	0	1	3	4	2	3	1	1	0	2
	librari inform technolog	Library and Information Technology	0	1	0	0	0	0	0	0	3	4	3	0	2	4	3	1	1	2	1	1	3	4	1	4	2	3	0	1	1	3	3	1	0	2	0	2	0	1	1	1	0	1	0	1	0	1	1	0
	librari technit	library technition	3	3	0	0	0	3	0	3	3	4	4	2	2	4	2	4	1	1	1	2	2	2	2	2	2	4	0	0	0	0	2	0	2	3	3	0	3	3	3	2	3	3	4	3	3	2	0	3
	librarian	Librarian	1	2	0	2	0	2	1	2	2	4	4	2	2	4	2	2	2	2	3	3	4	2	3	4	2	3	4	3	4	4	4	4	0	1	1	2	2	1	0	2	3	4	3	2	2	2	2	2
	librarian	Librarian	3	3	0	3	1	3	2	2	2	3	3	2	3	3	3	2	2	2	2	2	3	4	2	3	3	3	4	3	3	3	4	3	3	2	3	2	2	2	2	3	2	0	2	3	4	3	2	3
	librarian	librarian	2	1	0	0	1	1	1	0	4	2	0	1	0	0	1	1	2	3	3	2	3	3	1	3	4	4	3	3	4	4	3	2	2	2	3	1	1	1	1	0	1	3	2	2	2	1	1	0
	librarian	Librarian	4	0	1	0	0	0	0	0	2	4	3	4	3	4	3	1	2	4	3	4	4	1	1	3	4	4	2	2	3	0	2	1	0	0	1	1	3	1	2	0	0	0	0	0	1	1	0	0
	librarianship	Librarianship	0	0	0	1	1	1	1	1	1	2	2	1	1	1	1	1	1	3	2	1	3	1	0	1	3	3	3	3	3	2	3	2	1	2	3	2	2	3	1	3	1	1	2	2	1	2	1	2
	librarianship	Librarianship	2	2	0	0	0	0	0	0	1	2	3	0	0	3	0	2	2	4	4	3	4	4	4	4	1	3	2	4	1	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
	librarianship	Librarianship	1	0	0	1	0	0	1	0	3	4	2	0	2	2	1	1	0	3	0	0	2	0	0	0	3	3	2	2	4	0	1	0	2	1	3	2	3	3	2	3	2	3	2	4	2	1	3	3
	librarianship	Librarianship	3	0	0	2	0	1	1	1	2	0	1	2	1	1	1	1	1	1	1	1	2	2	1	0	1	3	3	1	2	2	4	0	0	1	2	1	2	1	0	1	4	4	4	4	4	4	3	4
	librarianship	Librarianship	2	3	3	2	0	2	2	2	4	3	3	3	3	3	3	3	1	1	4	4	4	4	3	3	3	4	1	4	1	4	3	3	0	1	1	1	2	0	0	2	2	3	2	2	4	4	2	2
	librarianship	librarianship	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	1	1	3	2	4	0	2	2	2	0	1	2	0	3	2	0	1	0	0	3	2	0	3	2	2	2	2	3	3	2	2
	licenciatura	Licenciatura	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	0	2	0	0	0	4	0	4	4	0	4	0	0	0	0	0
	life skill	life skills	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	2	0	4	0	4	0	0	3	2	2	4	0	2	4	4	0	0	2	4	0	4	0	0	2	0	2	2	0	2	0	0
	lifelong learn	lifelong learning	3	3	3	2	0	1	1	0	4	4	4	2	1	3	1	1	3	4	4	2	3	3	2	3	4	4	3	4	3	4	3	3	2	1	3	3	3	2	1	2	1	2	1	1	1	2	1	2
	lifesci	Lifescience	3	2	2	3	1	1	2	1	2	3	3	2	3	2	3	1	3	1	3	3	3	4	1	2	2	2	3	3	2	4	3	2	3	2	3	1	2	3	1	3	2	2	2	2	2	2	1	2
	lifestyl	Lifestyle	1	0	0	2	0	0	3	0	1	0	0	2	0	0	0	0	3	3	4	3	3	3	0	4	3	0	0	3	3	2	2	2	3	4	2	4	3	4	3	3	3	3	3	0	3	3	4	3
	lilpump	lilpump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	line man engin	Line Man Engineering	2	3	3	3	2	2	2	4	1	1	1	1	1	3	0	1	2	0	1	2	0	2	2	0	1	4	0	1	1	1	1	2	2	2	2	0	3	1	3	2	1	2	1	1	1	1	3	0
	lineman	Lineman	4	3	1	3	2	4	3	2	3	4	3	4	3	3	2	3	2	3	3	3	3	2	3	3	4	3	4	3	3	3	2	3	3	1	3	1	4	1	3	1	3	2	3	3	4	2	2	3
	lingusit educ	Lingusitic and Education	0	2	0	0	0	0	0	2	2	3	3	0	0	3	0	0	2	3	2	2	2	4	1	0	3	4	2	1	3	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	liter idea that took th	i literally have no idea. Thats why I took th	0	3	2	0	2	0	0	3	3	4	4	3	3	3	3	1	0	2	3	0	1	0	3	3	2	4	3	4	1	4	3	4	2	0	2	2	2	2	2	2	0	0	0	0	1	2	0	0
	literaci	Literacy	1	2	0	0	0	0	1	1	3	3	2	1	2	2	1	1	0	3	3	3	4	2	1	4	4	3	3	2	4	1	3	3	0	1	3	0	3	1	3	1	2	2	1	1	0	2	1	0
	literaci	Literacy 	2	2	0	3	0	2	2	2	1	4	4	2	3	4	3	3	1	2	4	2	4	3	3	4	1	3	0	3	1	3	3	1	2	1	0	0	0	1	0	3	1	1	1	1	0	1	0	1
	litraturtur ethnic	litraturture ethnic studies	2	3	1	1	0	3	1	3	4	3	3	4	2	4	2	4	3	4	4	3	4	4	0	4	3	4	4	4	4	3	3	4	0	0	3	2	3	2	1	3	0	0	0	1	3	2	1	2
	litrec	litrecer	2	1	0	1	1	0	0	1	0	3	4	0	2	3	1	2	4	2	4	3	4	4	3	1	3	3	3	1	3	2	3	2	2	2	2	2	1	2	2	3	2	1	1	3	0	0	1	1
	litretur	Litreture	1	2	1	3	2	2	2	2	4	2	2	3	4	2	3	2	2	2	3	3	4	4	1	3	0	2	3	2	3	2	2	1	0	3	2	2	2	2	2	2	1	2	2	3	1	2	2	2
	live skill	Living Skill	0	0	0	0	0	0	0	0	0	4	4	0	0	2	0	0	2	2	0	1	0	1	0	0	4	3	4	4	4	4	4	4	0	0	2	2	0	1	0	0	2	0	3	0	0	3	0	0
	logic	Logic	2	2	0	2	2	2	3	1	1	1	1	1	1	1	0	1	2	2	1	1	2	2	0	3	1	2	1	1	1	0	1	1	1	2	1	2	0	1	0	0	3	3	2	2	1	2	2	3
